                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2867,                   4.06,                 1.4435,                 0.0067,                0.91304,                0.00978,                0.00375,                 2.2612,                 3.6411,                 1.0764,             0.00065041,             0.00065041,             0.00065041
                      2,                  2.301,                 2.2584,                 1.0492,                0.58713,                 0.6087,                0.69626,                0.24274,                 2.2268,                 1.9677,                 1.0724,              0.0012845,              0.0012845,              0.0012845
                      3,                 2.3199,                 1.9008,                 0.9986,                0.70815,                0.78261,                0.81863,                 0.3573,                 2.0417,                 1.3437,                 1.0412,              0.0018855,              0.0018855,              0.0018855
                      4,                 2.1376,                 1.7801,                0.99556,                0.41009,                0.82609,                0.44178,                0.13648,                 2.6589,                 2.4677,                  1.289,              0.0018515,              0.0018515,              0.0018515
                      5,                 2.4911,                 1.9154,                 1.0637,                0.68986,                 0.6087,                0.68586,                0.30848,                 1.9865,                 1.4729,                  1.094,              0.0018515,              0.0018515,              0.0018515
                      6,                 2.3778,                  1.706,                 1.0228,                 0.7199,                0.89432,                0.77761,                0.30208,                 2.0903,                 1.8378,                 1.1053,               0.001802,               0.001802,               0.001802
                      7,                 2.2138,                 1.6196,                0.97486,                 0.6908,                0.77729,                0.78298,                0.30476,                 2.0452,                 1.3947,                 1.0924,              0.0017525,              0.0017525,              0.0017525
                      8,                 2.2282,                 1.5036,                0.97501,                0.79228,                0.82609,                 0.8573,                0.36479,                 2.0622,                 1.3611,                  1.049,               0.001703,               0.001703,               0.001703
                      9,                 2.0837,                 1.4405,                0.97067,                0.87908,                0.86957,                0.94851,                   0.42,                 1.9424,                 1.2181,                 1.0379,              0.0016535,              0.0016535,              0.0016535
                     10,                 2.1416,                 1.3632,                  0.981,                 0.9044,                0.82279,                0.93146,                0.30376,                 2.1417,                 1.2552,                 1.1236,               0.001604,               0.001604,               0.001604
                     11,                 1.9183,                 1.3549,                 0.9368,                0.89692,                0.82609,                 0.9237,                0.47122,                 1.8473,                 1.1067,                 1.0091,              0.0015545,              0.0015545,              0.0015545
                     12,                 2.1128,                 1.3382,                 0.9891,                0.75673,                0.86957,                0.87207,                0.38919,                 1.9963,                 1.2533,                 1.0454,               0.001505,               0.001505,               0.001505
                     13,                 2.0493,                  1.309,                0.97018,                0.73946,                0.91304,                 0.8723,                0.44222,                 1.8278,                 1.1352,                 1.0053,              0.0014555,              0.0014555,              0.0014555
                     14,                 1.9174,                 1.2605,                 0.9303,                0.83248,                0.86446,                0.89299,                 0.4346,                 1.8071,                  1.054,                0.97324,               0.001406,               0.001406,               0.001406
                     15,                 1.8566,                 1.1493,                0.92173,                 0.9077,                0.82609,                0.95695,                0.45155,                 1.8183,                 1.1623,                 1.0175,              0.0013565,              0.0013565,              0.0013565
                     16,                 1.8643,                 1.1863,                0.95634,                0.87201,                0.88909,                0.96033,                0.48494,                 1.8697,                 1.1532,                 1.0047,               0.001307,               0.001307,               0.001307
                     17,                 1.8171,                  1.159,                0.92223,                0.89801,                0.82609,                0.92532,                0.45984,                 1.7262,                 1.1258,                0.97135,              0.0012575,              0.0012575,              0.0012575
                     18,                 1.6992,                 1.0336,                0.91926,                0.71145,                      1,                0.91274,                0.56522,                 1.4488,                0.93171,                0.93467,               0.001208,               0.001208,               0.001208
                     19,                 1.6756,                 1.0222,                0.88755,                0.87092,                0.88041,                0.96973,                0.52245,                 1.8312,                 1.0699,                0.96997,              0.0011585,              0.0011585,              0.0011585
                     20,                 1.5938,                0.95557,                0.89121,                 0.8791,                0.94865,                0.97515,                0.53867,                  1.643,                 1.0093,                0.95946,               0.001109,               0.001109,               0.001109
                     21,                 1.7627,                 1.0292,                0.90599,                0.98622,                0.82609,                0.97274,                0.52454,                   1.64,                0.93755,                0.95946,              0.0010595,              0.0010595,              0.0010595
                     22,                 1.7206,                 0.9876,                0.90937,                0.99413,                0.86957,                0.97487,                0.49539,                  1.684,                 0.8798,                0.95807,                0.00101,                0.00101,                0.00101
                     23,                 1.6689,                0.98362,                0.89867,                0.95373,                0.89673,                0.97523,                0.54432,                 1.5874,                0.82636,                0.96153,              0.0009605,              0.0009605,              0.0009605
                     24,                 1.5929,                0.92342,                0.90685,                0.88326,                0.98723,                   0.98,                0.50603,                 1.6657,                0.83665,                0.96258,               0.000911,               0.000911,               0.000911
                     25,                 1.6405,                 0.8969,                0.90207,                0.99494,                0.91304,                0.98427,                0.49442,                 1.7101,                 0.8911,                0.96219,              0.0008615,              0.0008615,              0.0008615
                     26,                 1.5158,                0.88661,                0.89153,                0.95168,                0.91304,                0.97315,                0.55095,                 1.5959,                0.81958,                0.94689,               0.000812,               0.000812,               0.000812
                     27,                 1.4574,                0.90375,                0.88646,                0.98199,                0.91304,                0.98577,                0.48732,                 1.7351,                0.81962,                0.97399,              0.0007625,              0.0007625,              0.0007625
                     28,                 1.5893,                0.91103,                0.88786,                 0.9544,                0.91013,                0.97602,                0.47831,                 1.8195,                0.88388,                0.99021,               0.000713,               0.000713,               0.000713
                     29,                 1.6069,                0.88678,                0.90828,                 0.9559,                0.94274,                0.98281,                0.50452,                  1.711,                0.87353,                0.96191,              0.0006635,              0.0006635,              0.0006635
                     30,                 1.4858,                0.86576,                0.88026,                      1,                 0.8682,                 0.9817,                0.55426,                 1.5971,                0.84035,                0.95248,               0.000614,               0.000614,               0.000614
                     31,                  1.399,                0.85584,                0.87894,                0.81885,                0.98307,                0.96837,                0.58647,                 1.4385,                0.76339,                0.94089,              0.0005645,              0.0005645,              0.0005645
                     32,                 1.3673,                0.82636,                0.85859,                0.98006,                0.86957,                0.97446,                0.54385,                 1.5098,                 0.7441,                0.95559,               0.000515,               0.000515,               0.000515
                     33,                  1.375,                0.85345,                0.86495,                0.88069,                0.96306,                0.98288,                0.54589,                 1.5027,                0.74123,                0.94986,              0.0004655,              0.0004655,              0.0004655
                     34,                 1.3396,                0.79091,                0.87822,                0.95618,                0.94904,                0.98168,                0.58025,                 1.4206,                0.81199,                0.93351,               0.000416,               0.000416,               0.000416
                     35,                 1.2908,                0.81399,                0.83918,                0.99937,                      1,                  0.995,                0.58959,                 1.3294,                0.79462,                0.91004,              0.0003665,              0.0003665,              0.0003665
                     36,                 1.2237,                0.72411,                0.85085,                0.99328,                      1,                  0.995,                0.60149,                 1.3133,                0.74858,                0.90354,               0.000317,               0.000317,               0.000317
                     37,                 1.2342,                0.70758,                0.84457,                      1,                0.98196,                  0.995,                0.59472,                 1.3003,                0.72793,                0.89672,              0.0002675,              0.0002675,              0.0002675
                     38,                 1.1969,                0.72206,                0.86065,                      1,                0.94768,                 0.9918,                0.60766,                 1.3014,                0.73812,                0.89704,               0.000218,               0.000218,               0.000218
                     39,                 1.1966,                0.70834,                0.85038,                      1,                 0.9468,                 0.9918,                 0.5982,                  1.318,                0.73737,                0.89961,              0.0001685,              0.0001685,              0.0001685
                     40,                 1.2541,                0.73411,                0.83503,                      1,                0.98169,                  0.995,                0.57583,                 1.3503,                 0.7233,                0.90305,               0.000119,               0.000119,               0.000119
